country,adult_anemia_2016,adult_blood_pressure_2015,adult_diabetes_2014,adult_obesity_2016,adult_overweight_2016,adult_sodium_2017,basic_sanitation_2017,basic_water_2017,fruit_veg_availability_2013,government_revenue_2020,limited_sanitation_2017,limited_water_2017,nurses_and_midwives_2016,open_defecation_2017,physicians_2016,safely_managed_sanitation_2017,safely_managed_water_2017,surface_water_2017,undernourishment_prev_2017,unimproved_sanitation_2017,unimproved_water_2017,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,meningitis_deaths,kidney_disease_deaths,parkinson_disease_deaths,diabetes_deaths,protein_energy_malnutrition_deaths,liver_diseases_deaths,malaria_deaths,respiratory_diseases_deaths,tuberculosis_deaths,diarrheal_diseases_deaths,dementia_deaths,cancers_deaths,hiv_aids_deaths,cardiovascular_diseases_deaths,hepatitis_deaths,lower_respiratory_infections_deaths,digestive_diseases_deaths,nutritional_deficiencies_deaths,economic_rating,macroeconomic_rating,date
Afghanistan,40.8666666666667,30.56,11.91,5.435,22.885,3.44666666666667,43.42,67.06,172.67,1.425,9.82,3.17,,12.74,0.3,,,10.88,29.8,34.02,18.88,-21.8489208633094,-4.0035971223021605,-10.946043165467598,-19.4388489208633,-20.341726618705,8.33453237410072,6642.958265607839,3833.0731048177795,448.067500914218,5798.10937176445,1372.89757072141,2184.9444041853,1190.35185324401,6815.36938897771,3649.9707739387604,6151.751719895121,2839.2426591408503,16272.5415191916,271.336066040756,55101.310568856105,933.377917149041,21472.5375690469,5076.6628668124295,1443.99012841219,3.0,3.5,2020-03-27
Angola,48.5666666666667,29.59,8.175,8.06,27.185,3.16333333333333,49.88,55.84,432.87,,20.2,9.98,,19.92,,,,15.39,25.0,10.0,18.8,-26.0610079575597,-12.1253071253071,-22.241847826087,-41.5076530612245,-11.1389195148842,14.7038043478261,3351.96340044239,2739.1784907647,229.18314671002602,3418.76684086656,4719.101789138,5134.18314042392,8235.33226702915,3680.95550423315,11597.7690795189,17876.8367082112,1567.1600531927697,11620.4600491477,14460.271530462,21103.4767189741,413.642496529636,14947.036196385801,8061.30717697205,4805.547327376629,,,2020-06-10
Argentina,21.766666666666698,22.615,9.67,28.155,62.75,3.77666666666667,,,398.31,,,,,,,,,,4.6,,,-53.6755017342663,-19.1626238469423,-64.117903039369,-51.5701401984094,-19.797612504052,15.2664170576937,494.956647222546,10737.4598541497,2880.8333649648603,9164.662912412901,968.182282636668,7284.206354058821,0.0,18863.226626443702,683.953054870672,658.086330005527,18564.3932373763,72959.412062954,1726.5510475405702,104685.64455733699,175.422648606412,31279.255081987798,14825.539423696298,1060.85063720119,,,2020-03-20
Australia,12.6333333333333,15.17,5.895,28.97,64.5,3.35,24.35,99.97,523.27,,0.0,0.0,12.57,0.0,,75.64,,0.0,2.5,0.01,0.03,-17.5241911173633,-0.34575508892847806,-16.4292929292929,-30.2176164083502,-14.3831219317147,9.59403341288783,55.569017807090795,4343.54567719279,2241.74368703842,3609.3636902853004,92.7996135458831,2142.63305022292,0.0,10462.127842011,84.421393402843,185.321386258715,16580.2801551921,48506.0318674532,74.4688418360667,50031.911474129294,103.499020425349,4323.79719524191,5951.5745559702,118.094160347046,,,2020-03-10
Austria,19.6333333333333,20.985,4.315,20.09,54.295,3.94,3.23,1.09,706.4,,0.0,0.0,,0.0,5.23,96.75,98.91,0.0,2.5,0.03,0.0,-25.1552255533763,-9.567862304559188,13.689206951949801,-23.433693419047,-27.5846934655978,7.30047408860553,32.3485414246743,2806.55943470493,984.9892288241119,2057.6059622478,1.47699041642541,1847.51633915284,0.0,3377.01988238109,52.22007586581061,102.04183930533002,7344.14363724332,21565.792357913,39.35396329658371,31086.540646189398,5.56152285190733,937.949711309039,3182.00143036984,8.633067358151902,,,2020-03-08
Bahamas,24.533333333333303,21.03,12.435,31.255,64.185,2.8333333333333304,94.93,98.89,1112.66,,3.32,0.0,,0.22,,,,0.0,,1.53,1.11,-41.6730038022814,-18.925143953934697,-21.804347826087,-60.6621983914209,-38.422351233671996,18.2579710144928,4.0450764193275806,90.62384378075859,15.499832173828402,123.87327055553101,2.9095857072328597,52.3271825027816,0.0,50.7320559680244,7.217661169460841,3.71106169272192,89.6062289927235,516.3256524057331,115.322000513085,777.845509291962,0.970181662511155,102.337760732282,101.049551408372,4.02857849053114,,,2020-05-23
Bahrain,42.2333333333333,20.765,11.325,31.19,66.25,4.31333333333333,4.0,1.02,,,0.0,0.0,,0.0,,96.0,98.98,0.0,,0.0,0.0,-29.597826086956502,-10.8804347826087,-29.451086956521696,-26.8641304347826,-18.4673913043478,13.3913043478261,3.61045733660059,125.221241611434,15.7555234789923,501.33425305352796,2.48727943485288,79.50156601292791,0.0,107.355185734609,8.679975485838339,8.7404498348912,103.583787256242,517.687544257157,11.880749188241598,899.83534386545,4.36784045262171,90.7108142860512,134.598159387479,2.9138015382867795,,,2020-03-10
Bangladesh,41.7333333333333,24.74,9.77,3.61,20.075,4.68333333333333,48.23,41.57,138.83,15.565,22.65,1.54,,0.0,,,55.44,0.93,14.7,29.12,0.51,-39.586956521739104,-22.2554347826087,-17.570652173913,-36.554347826086996,-24.6195652173913,13.353260869565199,1421.5847703175598,16279.277883467601,3162.1177419985997,32929.2993323005,4268.7106866249605,25368.7030968672,3329.31675644411,78411.4139625109,13344.0241202895,28620.417668666298,15996.9246962316,95092.29968495651,609.344377169013,308324.418332442,3150.2476368940197,39832.6922258981,43487.5705010496,5310.416122014421,3.666667,3.5,2020-04-06
Barbados,22.9,24.32,12.11,23.02,52.31,2.76333333333333,97.28,98.49,458.43,,1.89,0.27,,0.83,,,,0.0,3.9,0.0,1.24,-32.1057692307692,-21.3504398826979,-25.7783687943262,-49.7409420289855,-37.6407904022583,13.4807692307692,3.7838032485624202,87.68798579785809,24.2238590010048,235.897719776915,4.47182417476025,37.736149044708796,0.0,61.535115441083,1.67525104099379,3.9595129900779997,166.27723564947598,660.849061285557,25.410169487327103,817.2626998404901,1.12110077314482,178.495980935369,91.78276902070401,5.88497154197667,,,2020-07-11
Belarus,23.1,27.305,7.78,24.19,59.475,3.88666666666667,17.28,1.96,609.72,,1.64,3.33,,0.0,,80.52,94.52,0.0,2.5,0.57,0.19,-9.52173913043478,2.34239130434783,35.961956521739104,-10.3695652173913,-15.2228260869565,0.34782608695652195,52.01698251000529,478.38714919418703,686.78838057314,348.530931795494,13.692149475082099,2544.3206859306,0.0,2003.1411006185,360.384275441166,13.766071610959802,6317.52459767825,18324.2672720772,314.485295774498,72412.0022547256,21.8733761109552,1162.21584850835,4486.92260328907,46.012757092254404,,,2020-03-30
