"country","type","total"
"Afghanistan","adult_blood_pressure_2010",30.26
"Afghanistan","adult_diabetes_2010",10.785
"Afghanistan","adult_obesity_2010",3.965
"Afghanistan","adult_overweight_2010",19.245
"Afghanistan","adult_sodium_2010",3.38333333333333
"Albania","adult_blood_pressure_2010",30.085
"Albania","adult_diabetes_2010",7.05
"Albania","adult_obesity_2010",18.17
"Albania","adult_overweight_2010",53.345
"Albania","adult_sodium_2010",4.39666666666667
"Algeria","adult_blood_pressure_2010",26.845
"Algeria","adult_diabetes_2010",11.425
"Algeria","adult_obesity_2010",23.34
"Algeria","adult_overweight_2010",57.43
"Algeria","adult_sodium_2010",3.95666666666667
"Andorra","adult_blood_pressure_2010",21.095
"Andorra","adult_diabetes_2010",7.01
"Andorra","adult_obesity_2010",24.345
"Andorra","adult_overweight_2010",62.405
"Andorra","adult_sodium_2010",4.18
"Angola","adult_blood_pressure_2010",30.26
"Angola","adult_diabetes_2010",7.335
"Angola","adult_obesity_2010",6.015
"Angola","adult_overweight_2010",23.225
"Angola","adult_sodium_2010",3.07333333333333
"Antigua and Barbuda","adult_blood_pressure_2010",22.87
"Antigua and Barbuda","adult_diabetes_2010",10.2
"Antigua and Barbuda","adult_obesity_2010",16.075
"Antigua and Barbuda","adult_overweight_2010",44.45
"Antigua and Barbuda","adult_sodium_2010",2.87666666666667
"Argentina","adult_blood_pressure_2010",24.35
"Argentina","adult_diabetes_2010",9.13
"Argentina","adult_obesity_2010",25.185
"Argentina","adult_overweight_2010",59.715
"Argentina","adult_sodium_2010",3.90333333333333
"Armenia","adult_blood_pressure_2010",25.925
"Armenia","adult_diabetes_2010",10.59
"Armenia","adult_obesity_2010",17.37
"Armenia","adult_overweight_2010",51.185
"Armenia","adult_sodium_2010",4.24
"Australia","adult_blood_pressure_2010",17.455
"Australia","adult_diabetes_2010",5.91
"Australia","adult_obesity_2010",25.625
"Australia","adult_overweight_2010",61.725
"Australia","adult_sodium_2010",3.31333333333333
"Austria","adult_blood_pressure_2010",23.265
"Austria","adult_diabetes_2010",4.34
"Austria","adult_obesity_2010",17.62
"Austria","adult_overweight_2010",51.875
"Austria","adult_sodium_2010",4.03
"Azerbaijan","adult_blood_pressure_2010",24.86
"Azerbaijan","adult_diabetes_2010",10.93
"Azerbaijan","adult_obesity_2010",16.435
"Azerbaijan","adult_overweight_2010",49.48
"Azerbaijan","adult_sodium_2010",4.41666666666667
"Bahamas","adult_blood_pressure_2010",22.765
"Bahamas","adult_diabetes_2010",11.83
"Bahamas","adult_obesity_2010",28.165
"Bahamas","adult_overweight_2010",61
"Bahamas","adult_sodium_2010",2.90666666666667
"Bahrain","adult_blood_pressure_2010",22.985
"Bahrain","adult_diabetes_2010",10.96
"Bahrain","adult_obesity_2010",28.245
"Bahrain","adult_overweight_2010",63.13
"Bahrain","adult_sodium_2010",4.29
"Bangladesh","adult_blood_pressure_2010",25.32
"Bangladesh","adult_diabetes_2010",9.02
"Bangladesh","adult_obesity_2010",2.515
"Bangladesh","adult_overweight_2010",16.48
"Bangladesh","adult_sodium_2010",4.68333333333333
"Barbados","adult_blood_pressure_2010",24.545
"Barbados","adult_diabetes_2010",11.175
"Barbados","adult_obesity_2010",19.695
"Barbados","adult_overweight_2010",48.395
"Barbados","adult_sodium_2010",2.83333333333333
"Belarus","adult_blood_pressure_2010",29.485
"Belarus","adult_diabetes_2010",7.485
"Belarus","adult_obesity_2010",21.955
"Belarus","adult_overweight_2010",56.795
"Belarus","adult_sodium_2010",3.83333333333333
"Belgium","adult_blood_pressure_2010",19.015
"Belgium","adult_diabetes_2010",4.655
"Belgium","adult_obesity_2010",20.045
"Belgium","adult_overweight_2010",57.755
"Belgium","adult_sodium_2010",3.51333333333333
"Belize","adult_blood_pressure_2010",23.23
"Belize","adult_diabetes_2010",11.615
"Belize","adult_obesity_2010",20.865
"Belize","adult_overweight_2010",51.1
"Belize","adult_sodium_2010",2.69
"Benin","adult_blood_pressure_2010",28.83
"Benin","adult_diabetes_2010",6.67
"Benin","adult_obesity_2010",7.415
"Benin","adult_overweight_2010",25.71
"Benin","adult_sodium_2010",2.89
"Bhutan","adult_blood_pressure_2010",28.06
"Bhutan","adult_diabetes_2010",11.135
"Bhutan","adult_obesity_2010",4.82
"Bhutan","adult_overweight_2010",22.965
"Bhutan","adult_sodium_2010",4.97
"Bolivia (Plurinational State of)","adult_blood_pressure_2010",18.905
"Bolivia (Plurinational State of)","adult_diabetes_2010",7.35
"Bolivia (Plurinational State of)","adult_obesity_2010",17.195
"Bolivia (Plurinational State of)","adult_overweight_2010",52.25
"Bolivia (Plurinational State of)","adult_sodium_2010",3.62
"Bosnia and Herzegovina","adult_blood_pressure_2010",30.695
"Bosnia and Herzegovina","adult_diabetes_2010",7.265
"Bosnia and Herzegovina","adult_obesity_2010",15.51
"Bosnia and Herzegovina","adult_overweight_2010",50.27
"Bosnia and Herzegovina","adult_sodium_2010",4.41666666666667
"Botswana","adult_blood_pressure_2010",30.3
"Botswana","adult_diabetes_2010",7.82
"Botswana","adult_obesity_2010",16.445
"Botswana","adult_overweight_2010",39.81
"Botswana","adult_sodium_2010",3.37
"Brazil","adult_blood_pressure_2010",25.225
"Brazil","adult_diabetes_2010",7.79
"Brazil","adult_obesity_2010",18.99
"Brazil","adult_overweight_2010",52.695
"Brazil","adult_sodium_2010",3.85
"Brunei Darussalam","adult_blood_pressure_2010",19.99
"Brunei Darussalam","adult_diabetes_2010",9.545
"Brunei Darussalam","adult_obesity_2010",11.13
"Brunei Darussalam","adult_overweight_2010",36.245
"Brunei Darussalam","adult_sodium_2010",6.62666666666667
"Bulgaria","adult_blood_pressure_2010",29.67
"Bulgaria","adult_diabetes_2010",7.175
"Bulgaria","adult_obesity_2010",22.31
"Bulgaria","adult_overweight_2010",58.83
"Bulgaria","adult_sodium_2010",4.56666666666667
"Burkina Faso","adult_blood_pressure_2010",32.49
"Burkina Faso","adult_diabetes_2010",5.865
"Burkina Faso","adult_obesity_2010",3.75
"Burkina Faso","adult_overweight_2010",18.94
"Burkina Faso","adult_sodium_2010",2.70333333333333
"Burundi","adult_blood_pressure_2010",27.985
"Burundi","adult_diabetes_2010",3.665
"Burundi","adult_obesity_2010",3.93
"Burundi","adult_overweight_2010",18.95
"Burundi","adult_sodium_2010",2.68333333333333
"Côte d’Ivoire","adult_blood_pressure_2010",28.375
"Côte d’Ivoire","adult_diabetes_2010",6.32
"Côte d’Ivoire","adult_obesity_2010",8.195
"Côte d’Ivoire","adult_overweight_2010",28.05
"Côte d’Ivoire","adult_sodium_2010",3.74
"Cabo Verde","adult_blood_pressure_2010",30.93
"Cabo Verde","adult_diabetes_2010",8.135
"Cabo Verde","adult_obesity_2010",9.25
"Cabo Verde","adult_overweight_2010",30.435
"Cabo Verde","adult_sodium_2010",2.95
"Cambodia","adult_blood_pressure_2010",25.375
"Cambodia","adult_diabetes_2010",6.6
"Cambodia","adult_obesity_2010",2.635
"Cambodia","adult_overweight_2010",17.925
"Cambodia","adult_sodium_2010",4.75333333333333
"Cameroon","adult_blood_pressure_2010",26.245
"Cameroon","adult_diabetes_2010",6.225
"Cameroon","adult_obesity_2010",8.94
"Cameroon","adult_overweight_2010",29.58
"Cameroon","adult_sodium_2010",2.81666666666667
"Canada","adult_blood_pressure_2010",15.045
"Canada","adult_diabetes_2010",5.495
"Canada","adult_obesity_2010",26.005
"Canada","adult_overweight_2010",61.22
"Canada","adult_sodium_2010",4.30666666666667
"Central African Republic","adult_blood_pressure_2010",31.235
"Central African Republic","adult_diabetes_2010",6.89
"Central African Republic","adult_obesity_2010",5.7
"Central African Republic","adult_overweight_2010",22.655
"Central African Republic","adult_sodium_2010",2.75
"Chad","adult_blood_pressure_2010",32.32
"Chad","adult_diabetes_2010",6.335
"Chad","adult_obesity_2010",4.585
"Chad","adult_overweight_2010",20.005
"Chad","adult_sodium_2010",2.75
"Chile","adult_blood_pressure_2010",22.65
"Chile","adult_diabetes_2010",9.835
"Chile","adult_obesity_2010",25.025
"Chile","adult_overweight_2010",59.96
"Chile","adult_sodium_2010",4.38333333333333
"China","adult_blood_pressure_2010",20.04
"China","adult_diabetes_2010",8.01
"China","adult_obesity_2010",4.41
"China","adult_overweight_2010",27.705
"China","adult_sodium_2010",10.53
"Colombia","adult_blood_pressure_2010",20.475
"Colombia","adult_diabetes_2010",8.09
"Colombia","adult_obesity_2010",19.285
"Colombia","adult_overweight_2010",55.47
"Colombia","adult_sodium_2010",4.51666666666667
"Comoros","adult_blood_pressure_2010",27.275
"Comoros","adult_diabetes_2010",7.2
"Comoros","adult_obesity_2010",6.075
"Comoros","adult_overweight_2010",23.95
"Comoros","adult_sodium_2010",2.82
"Congo","adult_blood_pressure_2010",27.235
"Congo","adult_diabetes_2010",6.99
"Congo","adult_obesity_2010",7.59
"Congo","adult_overweight_2010",27.25
"Congo","adult_sodium_2010",3.05666666666667
"Costa Rica","adult_blood_pressure_2010",20.02
"Costa Rica","adult_diabetes_2010",8.365
"Costa Rica","adult_obesity_2010",21.455
"Costa Rica","adult_overweight_2010",56.735
"Costa Rica","adult_sodium_2010",3.74666666666667
"Croatia","adult_blood_pressure_2010",32.46
"Croatia","adult_diabetes_2010",6.82
"Croatia","adult_obesity_2010",21.42
